00000956266;EEX001431;;73442;1YY YWAA H;1YY YWAA HB MGp krlp kpfcWU 4b 0UA 6CAwFOJntk rghUV1 c4637LJ;;MEX;;;NON FINANCIAL;;;;;;;;MEX001431;;;;;;;;;;
00000956266;MEX001431;;73442;1YY YWAA H;1YY YWAA HB MGp krlp kpfcWU 4b 0UA 6CAwFOJntk rghUV1 c4637LJ;;MEX;;;NON FINANCIAL;;;;;;;;MEX001431;;;;;;;;;;
00000956357;MEX001531;;74500;zbX8290KP;zbX8290KP CG RMiuxi, bq kg f7;;MQA;;;NON FINANCIAL;;;;;93167144;410480;;MEX001531;BANXICO;Reporting Delegation Model;01;;;;;;;
00000968810;MEX014551;;205743;iZ5ZzEKBPK;iZ5Z7T 5KQHv QImumitejTZcb A y2 IF AH Fp;;5UB;;;;;;;;62769757;539536;;MEX014551;;;;;;;;;;
00000956489;MEX001688;;75123;045ZDG45 9;045ZDG45 9D OJlxQl, et nj i4;;JUA;;;NON FINANCIAL;;;;;19731219;411835;;MEX001688;;;;;;;;;;
00000973982;MEX019891;;455734;gb1ABTB HL;gb1ABTB HLDxFLrlR lfkfy2WZY zGKL7xHMROP a qkXkjVVFXzz K5 BF Go;;DPC;;;;;;;;B6385668;592253;;MEX019891;;;;;;;;;;
00000974618;MEX020539;;470618;TUc9D52KOL;TUc9D52 KAOCNr nehdpe bg6WZ6 Dy 48 9v;;MEX;;;;;;;;C3097216;599175;;MEX020539;;;;;;;;;;
00000974625;MEX020542;;470637;gf528FC3QQ;gf528F C3QQGu MnnrjfYn;;MEX;;;;;;;;B3655385;599209;;MEX020542;;;;;;;;;;
00000966915;MEX012584;;166494;ay9U20YT47;dXZV2zEFERQ NroSeirqmZd Z/jeXU 16QwDxMq Rkje  keg4byXD72 68OGv SqftM Zo dhT U4F1N 9NxRx NxpRjrijTT;;MEX;;;;;;;qkiaqd32TAuLlOJORlVp;B6309217;520619;2021-08-09;MEX012584;;;;;;;;;;
00000966915;EEX012584;;166494;ay9U20YT47;dXZV2zEFERQ NroSeirqmZd Z/jeXU 16QwDxMq Rkje  keg4byXD72 68OGv SqftM Zo dhT U4F1N 9NxRx NxpRjrijTT;;MEX;;;;;;;qkiaqd32TAuLlOJORlVp;B6309217;520619;2021-08-09;MEX012584;;;;;;;;;;
00000972990;MEX018860;;428560;hUcX498EG;hUcX4 98EG RC IM Nh;;MEX;;;;;;;;B8545754;581652;;MEX018860;;;;;;;;;;
00000976781;MEX022748;;518844;ic0AEE8KAE;ic0z75IMN9ENusSh dZZfy2WZYD F59L4PG pM Su tX;;MEX;;;;;;;;C2364679;622589;;MEX022748;;;;;;;;;;
00000975038;MEX020963;;479823;i5756BJKzE;i5756BJKEs 5K qL Rv uY;;5GY;;;;;;;;C8197490;605881;;MEX020963;;;;;;;;;;
00000966364;MEX012006;;151016;WfWBWM0O6K;Wf5zW 3K399NrtP dRbtfn 4hybyF08C;;CUB;;;;;;;;B1115001;514992;;MEX012006;;;;;;;;;;
00000956598;MEX001802;;76637;T2cE2F 37;1b1VTBH3 LQCoQn kRhl nj i4;;MEX;;;NON FINANCIAL;;;;;78882780;412882;;MEX001802;BANXICO;Reporting Delegation Model;01;;;;;;;
00000956599;MEX001803;;76693;aT38yFEL C;aT38yFEL CQCKQNoh tp ogca6bzFy, J4 AH Fp;;HBH;;;NON FINANCIAL;;;;;80579721;412890;;MEX001803;BANXICO;Reporting Delegation Model;01;;;;;;;
00000972430;MEX018263;;368599;cb508C496Q;cb5ZB0E CKRG wMÑLrew nqWiZe;;QUB;;;;;;;;36705846;576074;;MEX018263;;;;;;;;;;
00000973601;MEX019499;;441919;fb 6V2z0;fb6ZBEEEH9FxrL kvorq Vk ea ZD;;THW;;;;;;;;B3465180;587758;;MEX019499;;;;;;;;;;
00000955814;MEX000956;;69234;ay05V5BB6Q;ay05V5BB6QKF Rxqvjpz lkU535 Uy5x, P.L. GK L.j.;;5SP;;;NON FINANCIAL;;;;;88147801;405167;;MEX000956;BANXICO;Reporting Delegation Model;01;;;;;;;
00000161349;E6DENB3U;;68979;WUbWU8;WzzzV04GKR q RMmOosb, Y.n.;;STO;;CHILE;NON FINANCIAL;;;;;;;;6DENB3U;;;;;;;;;;
00000161349;6DENB3U;;68979;WUbWU8;WzzzV04GKR q RMmOosb, Y.n.;;STO;;CHILE;NON FINANCIAL;;;;;;;;6DENB3U;;;;;;;;;;
00000953912;MX03912;;58855;W5YY51HB6;W5YY51HB6 KC HQRivÑw qm h0hbb3V71L7, 3D JN Og;;GUD;;;NON FINANCIAL;;;;;14276592;937995;;MX03912;BANXICO;Reporting Delegation Model;01;;;;;;;
00000956530;MEX001724;;75500;gz19DEK5PN;gz19DEK5PNxF LP hrblmahh 5XzFy34K, 3D JN Og;;1SK;;;NON FINANCIAL;;;;;25049784;412197;;MEX001724;BANXICO;Reporting Delegation Model;01;;;;;;;
00000956049;MEX001211;;71438;12c4CCEKPD;12c4CCEKPDw uMQlrqpZnhT4 VY6J1H, PL GK Lj;;MEX;;;NON FINANCIAL;;;;;68653109;407536;;MEX001211;BANXICO;Reporting Delegation Model;01;;;;;;;
00000971357;MEX017157;;299444;0b5C2GKKER;0b5C2z8HO SuuQnjrufY kg 1e0B39CI PL GK Lj;;SKZ;;;;;;;;17912575;565531;;MEX017157;;;;;;;;;;
